energy,ssim_indices,psnr_indices
84746.31,0.31598625,10.09671648356657
73760.06,0.42413977,10.766703260746194
63966.76,0.49565205,11.466547677322742
75877.25,0.51506466,10.632493979626602
66810.92,0.51524925,11.253299804161125
65121.137,0.5270979,11.377587732212236
58730.42,0.5344096,11.892876154728029
54587.883,0.5564802,12.26085412366843
65259.24,0.5416865,11.367660309153356
52503.082,0.5595274,12.461347663380131
49978.28,0.55894905,12.713602713331433
47124.902,0.56027955,13.020296363650399
56332.21,0.5516115,12.103005227966415
45910.54,0.5652775,13.156581289115824
46773.688,0.56141424,13.057879457521013
45069.234,0.55401516,13.251246625347278
43835.98,0.5680706,13.397174703146078
42182.04,0.5598578,13.604481490173049
41357.21,0.57134956,13.709107570094766
38198.895,0.57599366,14.136271610058822
36766.83,0.57657725,14.351748027992668
35404.945,0.57937807,14.557800561626905
35070.43,0.58213395,14.610769423668994
31448.996,0.5954542,15.23192488280699
32447.21,0.5876202,15.048745910427925
30985.834,0.59539646,15.314711502411924
28708.184,0.59662265,15.766723149978787
29318.438,0.59783536,15.638174170290318
30708.434,0.5980422,15.365636788855877
28934.623,0.611188,15.715890179081782
28418.137,0.6141917,15.82518779049269
32034.732,0.60676605,15.119766284556853
26682.22,0.6174482,16.208619135480618
26391.73,0.6198819,16.276111369976935
28459.023,0.6086297,15.816433292516884
26646.02,0.61333114,16.220434638073744
28865.96,0.60540426,15.734457211653556
31559.902,0.6080374,15.2141464508398
25685.352,0.6159199,16.44470346108086
26035.643,0.6115738,16.362351793499677
27418.777,0.61332095,16.046163611145317
26430.473,0.6122898,16.270880331527774
26370.01,0.61585855,16.283967816531153
26002.71,0.6178921,16.369562073558985
25990.7,0.617006,16.373283548319993
26603.957,0.61122465,16.227885444996712
25213.121,0.6183708,16.56188982287649
25634.016,0.6180202,16.456604423179016
26112.084,0.6151436,16.346960713035962
23898.16,0.62439775,16.904182191356078
24786.111,0.62043685,16.671643298881175
23675.604,0.6294758,16.96329091403876
25594.045,0.62016153,16.47010803064125
27409.3,0.61673385,16.04615179873647
23735.297,0.6297106,16.950951747243582
23717.816,0.6290303,16.95000753817493
23218.37,0.6283055,17.09121145776382
24071.615,0.62621474,16.85965304017894
25143.943,0.6247831,16.575866666003023
23601.094,0.6272582,16.9826659846253
23623.215,0.63029057,16.977626145595416
24885.723,0.634583,16.643540967547644
23577.947,0.62706697,16.992186505745302
24362.695,0.63149184,16.778600228478332
24078.254,0.628013,16.85757729565196
22641.32,0.63525325,17.258006226632506
25638.691,0.62536925,16.455797878096444
23384.117,0.62816316,17.04431815346218
23891.283,0.62581545,16.906885012659355
24616.363,0.6260157,16.711642484946086
24011.33,0.6217472,16.872900614024015
23491.264,0.6287783,17.016471033707948
24552.918,0.62307286,16.735732731423298
22206.885,0.6364727,17.383525786491376
23440.688,0.6278681,17.033322340477888
23053.889,0.63711673,17.142838275357118
22705.512,0.63527143,17.240894623551057
22419.297,0.63062984,17.323885080048367
22683.39,0.6299127,17.242955603638382
23549.254,0.6364345,16.99883745979418
22195.098,0.6360147,17.38995311921539
22405.375,0.63827515,17.325411853452263
23188.008,0.63667244,17.099909103974525
22477.996,0.63021857,17.30293938500324
21861.676,0.63965654,17.48981210041218
